candidate,lieutenant_governor,home_jurisdiction,days_on_file,has_website,has_social,filed_age_log,jurisdiction_key,county_strength,total_2022_gop_votes,cox_share,finance_signal,finance_cash,finance_raised,finance_spent,finance_days_old,weighted_impact_points,positive_signal,negative_signal,event_count,normalized_probability,yes_price,market_days_stale,liquidity_usd,market_signal,poll_signal,poll_sample_size,base_prior_probability,base_prior_log_score,organization_score,finance_score,event_score,geography_score,market_score,poll_score,environment_fit,environment_pressure,environment_score,history_bonus,data_completeness_penalty,feature_total,model_score,baseline_probability,forecast_probability,probability_p10,probability_p90,probability_std,confidence_band_width,rank,margin_to_leader,last_updated
Dan Cox,Rob Krop,Frederick County,116,True,False,4.762173934797756,Frederick,5.118000998921147,21207,0.5137454614042534,0.5116047903459255,25654.0,57961.0,127332.0,7.0,6.637577039774866,7.80702173844903,1.1694446986741633,4.0,0.5979381443298969,0.575,0.0,70500.0,-0.5142679679569635,0.0,0.0,0.29,-1.2378743560016174,0.18642047070812484,1.1182430713761327,1.9364653548843287,0.9213600408318723,1.8581868458313682,0.0,-0.1,-0.013501672936964668,0.0013501672936964669,0.65,-0.07,3.490787244126417,1.4854413804793263,0.6148125095446958,0.6087079727004059,0.5508014897988676,0.6668850573865518,0.0450683778596546,0.11608356758768423,1,0.0,2026-05-26
John A. Myrick,Brenda J. Thiam,Prince George's County,454,True,True,6.12029741895095,Prince George's,4.439637371638668,6901,0.5022460512969135,0.4358217582415518,4100.0,22000.0,34000.0,7.0,2.5382307057524685,2.5382307057524685,0.0,3.0,0.030927835051546393,0.025,0.0,70500.0,-3.4760986898352733,0.0,0.0,0.14,-1.9661128563728327,1.5529362074004394,0.8574002941060279,0.4032982071652023,-0.6129934360483114,0.0881605294533438,0.0,0.14,-0.013501672936964668,-0.0018902342111750538,0.08,0.0,-0.09552214579127229,-0.040647721613307354,0.13365050975810724,0.13430323771363295,0.10456968268561405,0.165993505665942,0.024354531061883275,0.06142382298032796,2,0.47440473498677294,2026-05-26
Ed Hale,Tyrone Keys Jr.,Talbot County,106,True,True,4.672828834461906,Talbot,4.451104607459122,4676,0.526732249786142,0.7330534661819702,108846.0,210471.0,0.0,7.0,-3.11707854899495,0.0,3.11707854899495,4.0,0.3711340206185567,0.357,0.0,70500.0,-0.9911920400472728,0.0,0.0,0.22,-1.5141277326297755,0.25639113477282494,1.880462344264361,-1.596059170999974,-0.9797860937434879,1.573171178906734,0.0,0.22,-0.013501672936964668,-0.002970368046132227,0.15,0.0,-0.8698838987651508,-0.37016336117665993,0.09613107426488839,0.09675759824029519,0.07441429170301629,0.12123267153751076,0.018469870389399963,0.04681837983449447,3,0.5119503744601107,2026-05-26
Carl A. Brunner Jr.,Kevin L. Rhodes Sr.,Carroll County,316,True,True,5.75890177387728,Carroll,4.930494761211933,21131,0.495101982868771,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,999.0,,-4.605170185988091,0.0,0.0,0.08,-2.5257286443082556,1.2292222781929543,-0.6426842849577535,-0.5282899609435989,0.7979486506313274,-0.5865864256985742,0.0,0.04,-0.013501672936964668,-0.0005400669174785868,0.0,-0.18,-2.8032545503551853,-1.1928742767468874,0.04222454561404573,0.04380989757818719,0.02823770576603285,0.061161719597593825,0.013541647924593222,0.032924013831560975,4,0.5648980751222187,2026-05-26
Douglas Larcomb,Martina D. Duncan,Carroll County,91,False,False,4.5217885770490405,Carroll,4.930494761211933,21131,0.495101982868771,0.0,0.0,0.0,0.0,13.0,1.8777313005553569,1.8777313005553569,0.0,2.0,0.0,,999.0,,-4.605170185988091,0.0,0.0,0.06,-2.8134107167600364,-0.3289005762981861,-0.6426842849577535,0.16087996301977187,0.7979486506313274,-0.5865864256985742,0.0,0.03,-0.013501672936964668,-0.00040505018810894005,0.0,-0.35,-3.4975770020089056,-1.4883306391527258,0.031423164352472874,0.03219361055228117,0.021344633244096998,0.04449001792348217,0.009410120043677563,0.023145384679385175,5,0.5765143621481247,2026-05-26
Shannon Wright,Reba A. Hawkins,Baltimore City,75,True,False,4.330733340286331,Baltimore City,3.5895450285778794,4105,0.43142509135200974,0.0,0.0,0.0,0.0,55.0,3.7437972836289717,3.7437972836289717,0.0,3.0,0.0,,999.0,,-4.605170185988091,0.0,0.0,0.08,-2.5257286443082556,-0.20003501643654337,-0.6426842849577535,0.8457684512103445,-1.7681838332211783,-0.5865864256985742,0.0,0.05,-0.013501672936964668,-0.0006750836468482334,0.15,-0.25,-4.069060489360767,-1.7315151018556456,0.024639747140621678,0.025285486409587825,0.016690012395574046,0.034836313310267486,0.0074941724169990875,0.01814630091469344,6,0.583422486290818,2026-05-26
Nancy Jane Taylor,"Rachel Hannah ""Mohawk"" Swift",Washington County,98,False,True,4.59511985013459,Washington,5.363197504696386,13623,0.5633854510753872,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,999.0,,-4.605170185988091,0.0,0.0,0.04,-3.2188758248682006,-0.1132153505133783,-0.6426842849577535,-0.5282899609435989,0.6464437777206232,-0.5865864256985742,0.0,0.03,-0.013501672936964668,-0.00040505018810894005,0.0,-0.28,-4.440721578539953,-1.8896687568255117,0.02103541028011147,0.021671668761948384,0.0138785731852599,0.030509290606306777,0.0066982927135137834,0.016630717421046878,7,0.5870363039384575,2026-05-26
Michael Oakes,Ronald W. Abend,Carroll County,104,False,False,4.653960350157523,Carroll,4.930494761211933,21131,0.495101982868771,0.0,0.0,0.0,0.0,,0.494257010176448,0.494257010176448,0.0,1.0,0.0,,999.0,,-4.605170185988091,0.0,0.0,0.03,-3.506557897319982,-0.21050998530325232,-0.6426842849577535,-0.346886441696238,0.7979486506313274,-0.5865864256985742,0.0,0.03,-0.013501672936964668,-0.00040505018810894005,0.0,-0.35,-4.582599121766046,-1.9500421794749132,0.019803007078951107,0.020459367192612373,0.013390843445395014,0.028525680370404476,0.006134350250308879,0.015134836925009462,8,0.5882486055077936,2026-05-26
L. D. Burkindine,Jeremy M. Shifflett,Queen Anne's County,97,True,False,4.584967478670572,Queen Anne's,4.629337089543823,6094,0.5311782080735149,0.0,0.0,0.0,0.0,,0.494257010176448,0.494257010176448,0.0,1.0,0.0,,999.0,,-4.605170185988091,0.0,0.0,0.04,-3.2188758248682006,0.027690837477013508,-0.6426842849577535,-0.346886441696238,-0.6006864074334743,-0.5865864256985742,0.0,0.03,-0.013501672936964668,-0.00040505018810894005,0.0,-0.25,-5.04295113743048,-2.145936654225736,0.016280031966105783,0.01681116085104777,0.0110832831494383,0.023592454251988686,0.005103542308744608,0.012509171102550386,9,0.5918968118493582,2026-05-26
