candidate,forecast_probability,forecast_probability_p10,forecast_probability_p90,market_probability,edge_vs_market,worst_case_scenario_probability,required_edge,value_flag,decision_eligible,capped_exposure_fraction,block_reasons,last_updated
Dan Cox,0.6087079727004059,0.5508014897988676,0.6668850573865518,0.5979381443298969,0.010769828370508994,0.502118891451076,0.08,no_bet,False,0.0,forecast_withheld;edge_below_required_buffer;edge_not_durable_across_scenarios,2026-05-26
John A. Myrick,0.13430323771363295,0.10456968268561405,0.165993505665942,0.030927835051546393,0.10337540266208656,0.08760233983995373,0.08,no_bet,False,0.0,forecast_withheld;edge_not_durable_across_scenarios,2026-05-26
Ed Hale,0.09675759824029519,0.07441429170301629,0.12123267153751076,0.3711340206185567,-0.27437642237826154,0.06242068065322709,0.08,no_bet,False,0.0,forecast_withheld;edge_below_required_buffer;edge_not_durable_across_scenarios,2026-05-26
Carl A. Brunner Jr.,0.04380989757818719,0.02823770576603285,0.061161719597593825,,,0.03115096737381174,0.08,no_bet,False,0.0,forecast_withheld;no_direct_market;edge_below_required_buffer;edge_not_durable_across_scenarios,2026-05-26
Douglas Larcomb,0.03219361055228117,0.021344633244096998,0.04449001792348217,,,0.02318229724656159,0.08,no_bet,False,0.0,forecast_withheld;no_direct_market;edge_below_required_buffer;edge_not_durable_across_scenarios,2026-05-26
Shannon Wright,0.025285486409587825,0.016690012395574046,0.034836313310267486,,,0.01817786190743887,0.08,no_bet,False,0.0,forecast_withheld;no_direct_market;edge_below_required_buffer;edge_not_durable_across_scenarios,2026-05-26
Nancy Jane Taylor,0.021671668761948384,0.0138785731852599,0.030509290606306777,,,0.015518778705638076,0.08,no_bet,False,0.0,forecast_withheld;no_direct_market;edge_below_required_buffer;edge_not_durable_across_scenarios,2026-05-26
Michael Oakes,0.020459367192612373,0.013390843445395014,0.028525680370404476,,,0.014609578823142308,0.08,no_bet,False,0.0,forecast_withheld;no_direct_market;edge_below_required_buffer;edge_not_durable_across_scenarios,2026-05-26
L. D. Burkindine,0.01681116085104777,0.0110832831494383,0.023592454251988686,,,0.012010519882351961,0.08,no_bet,False,0.0,forecast_withheld;no_direct_market;edge_below_required_buffer;edge_not_durable_across_scenarios,2026-05-26
