candidate,forecast_probability,probability_p10,probability_p90,yes_price,implied_probability,normalized_probability,stale_price_flag,liquidity_warning,settlement_warning,days_stale,is_active_candidate,market_probability,edge_vs_market,market_data_available,last_updated
Dan Cox,0.622790714395945,0.5410313123300041,0.7001067491457831,0.575,0.58,0.6105263157894737,True,ok,ok,45.0,True,0.6105263157894737,0.012264398606471327,True,2026-05-20
John A. Myrick,0.12533463414086699,0.08540065232485285,0.16849179482025745,0.027,0.03,0.031578947368421054,True,ok,ok,45.0,True,0.031578947368421054,0.09375568677244593,True,2026-05-20
Ed Hale,0.1018701032914567,0.0703533414872279,0.13853547117999737,0.339,0.34,0.3578947368421053,True,ok,ok,45.0,True,0.3578947368421053,-0.25602463355064864,True,2026-05-20
Carl A. Brunner Jr.,0.041818096993524186,0.026455987494256792,0.059872605123588725,,,,,,,,,,,False,2026-05-20
Douglas Larcomb,0.029453119323732336,0.01902111681185289,0.04167629565605993,,,,,,,,,,,False,2026-05-20
Shannon Wright,0.023667675345731252,0.015098425316632757,0.033531856187114205,,,,,,,,,,,False,2026-05-20
Nancy Jane Taylor,0.02120792274212553,0.013142798802656955,0.03051854822926158,,,,,,,,,,,False,2026-05-20
Michael Oakes,0.018592938260976827,0.011582469952648972,0.026708732735865354,,,,,,,,,,,False,2026-05-20
L. D. Burkindine,0.0152647955056418,0.009506266038297923,0.022071842333353943,,,,,,,,,,,False,2026-05-20
