measure_group,poll_count,weighted_positive_pct,weighted_negative_pct,weighted_gap_pct,latest_release_date,total_sample_size,total_poll_weight,last_updated
direction_of_state,8,16.951600443488896,20.703276469778448,-3.751676026289552,2026-04-01,6462.0,3.8362736148882064,2026-05-24
job_approval,15,16.860126317925488,13.780136215754824,3.0799901021706613,2026-04-01,12102.0,4.979920802325519,2026-05-24
matchup,8,10.582317062743348,4.19602527813829,6.386291784605057,2026-01-13,6472.0,3.146706305927842,2026-05-24
