candidate,ticket,party,early_votes,election_day_votes,mail_provisional_votes,total_votes,pct,source_url,notes
Dan Cox,Dan Cox and Gordana Schifanelli,Republican,26455,106724,20244,153423,52.00,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_results_2022_1_P.html,Official 2022 Maryland Republican gubernatorial primary statewide result; used as prior evidence for Cox repeat-base strength.
Robin Ficker,Robin Ficker and LeRoy F. Yegge Jr.,Republican,1397,3732,3139,8268,2.80,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_results_2022_1_P.html,Official 2022 Maryland Republican gubernatorial primary statewide result.
Kelly Schulz,Kelly Schulz and Jeff Woolford,Republican,22188,73117,32997,128302,43.48,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_results_2022_1_P.html,Official 2022 Maryland Republican gubernatorial primary statewide result; used as establishment-lane baseline.
Joe Werner,Joe Werner and Minh Thanh Luong,Republican,796,2435,1844,5075,1.72,https://elections.maryland.gov/elections/archive/2022/primary_results/gen_results_2022_1_P.html,Official 2022 Maryland Republican gubernatorial primary statewide result.
